nama_kecamatan,nama_desa,jumlah_penduduk,kepadatan_per_km2
Ciracas,Cibubur,84702,18822.67
Ciracas,Kelapa Dua Wetan,59709,17717.8
Ciracas,Ciracas,81171,20654.2
Ciracas,Susukan,47009,21465.3
Ciracas,Rambutan,46804,22394.26
Pasar Rebo,Pekayon,54961,17283.33
Pasar Rebo,Kalisari,55461,19124.48
Pasar Rebo,Baru,30122,15937.57
Pasar Rebo,Cijantung,51381,21588.66
Pasar Rebo,Gedong,43900,16692.02
Cipayung,Pondok Ranggon,35248,9630.6
Cipayung,Cilangkap,37235,6174.96
Cipayung,Munjul,31890,16784.21
Cipayung,Cipayung,33980,10996.76
Cipayung,Setu,27649,8507.38
Cipayung,Bambu Apus,34155,10774.45
Cipayung,Ceger,23944,6596.14
Cipayung,Lubang Buaya,82864,22275.27
Cimanggis,Curug,22509,12102
Cimanggis,Harjamukti,25158,4214
Cimanggis,Cisalak Pasar,25051,13840
Cimanggis,Mekarsari,48327,12392
Cimanggis,Tugu,85941,15429
Cimanggis,Pasir Gunung Selatan,34783,13027
Tapos,Cilangkap,58873,9557
Tapos,Cimpaeun,27692,5617
Tapos,Tapos,17876,2833
Tapos,Leuwinanggung,14273,3312
Tapos,Jatijajar,39720,14932
Tapos,Sukamaju Baru,46123,10827
Tapos,Sukatani,59038,12274
Gunung Putri,Karanggan,24677,8038
Gunung Putri,Gunung Putri,20050,6706
Gunung Putri,Tlajung Udik,45005,10252
Gunung Putri,Bojong Nangka,26187,3897
Gunung Putri,Cicadas,42046,6409
Gunung Putri,Wanaherang,32438,3729
Gunung Putri,Cikeas Udik,25253,3873
Gunung Putri,Nagrak,18398,3150
Gunung Putri,Ciangsana,34229,3971
Gunung Putri,Bojong Kulur,37380,7931
Citeureup,Tangkil,1475,241
Citeureup,Hambalang,14658,722
Citeureup,Tajur,15918,1121
Citeureup,Pasir Mukti,14534,8917
Citeureup,Sukahati,13790,2480
Citeureup,Leuwinutug,18520,6735
Citeureup,Sunja,14938,7469
Citeureup,Karang Asem Barat,22959,8535
Citeureup,Karang Asem Timur,10937,10127
Citeureup,Tarikolot,24602,10083
Citeureup,Gunungsari,21773,5822
Citeureup,Citeureup,19067,6131
Citeureup,Puspanegara,18547,16128
Citeureup,Puspasari,17102,11105
Babakan Madang,Cijayanti,19417,1380
Babakan Madang,Bojong Koneng,17148,1318
Babakan Madang,Karang Tengah,19688,665
Babakan Madang,Sumur Batu,9381,1938
Babakan Madang,Babakan Madang,10346,3193
Babakan Madang,Citaringgul,8983,2516
Babakan Madang,Cipambuan,6137,3053
Babakan Madang,Kadumangu,18487,4202
Babakan Madang,Sentul,18838,5429
Sukaraja,Sukaraja,2065,210
Sukaraja,Lubuk Suhang,1248,354
Sukaraja,Bukit Peninjauan II,1933,3452
Sukaraja,Padang Pelawi,1837,61
Sukaraja,Kayu Arang,1050,2648
Sukaraja,Niur,1625,120
Sukaraja,Cahaya Negeri,3106,383
Sukaraja,Bukit Peninjauan I,2087,638
Sukaraja,Riak Siabun,2539,113
Sukaraja,Jenggalu,1308,126
Sukaraja,Babatan,2579,312
Sukaraja,Sido Sari,1900,1743
Sukaraja,Sari Mulyo,2083,208
Sukaraja,Sido Luhur,2152,457
Sukaraja,Sumber Arum,1178,464
Sukaraja,Riak Siabun I,1363,118
Sukaraja,Padang Kuas,1334,152
Sukaraja,Kuti Agung,862,67
Sukaraja,Air Kemuning,1016,79
Sukaraja,Air Petai,832,158
Sukaraja,Sumber Makmur,419,44
Bogor Timur,Sindangsari,10931,11306
Bogor Timur,Sindangrasa,16785,13458
Bogor Timur,Tajur,7253,14119
Bogor Timur,Katulampa,33421,7224
Bogor Timur,Baranangsiang,28706,11397
Bogor Timur,Sukasari,12880,21794
Bogor Selatan,Mulyaharja,25664,4821
Bogor Selatan,Pamoyanan,18717,7138
Bogor Selatan,Ranggamekar,17098,10273
Bogor Selatan,Genteng,10342,5178
Bogor Selatan,Kertamaya,7649,1728
Bogor Selatan,Rancamaya,8542,4417
Bogor Selatan,Bojongkerta,12047,5002
Bogor Selatan,Harjasari,14653,9975
Bogor Selatan,Muarasari,12379,6934
Bogor Selatan,Pakuan,5700,4992
Bogor Selatan,Cipaku,14661,9716
Bogor Selatan,Lawanggintung,8773,13278
Bogor Selatan,Batutulis,10617,15783
Bogor Selatan,Bondongan,15185,26231
Bogor Selatan,Empang,18318,19782
Bogor Selatan,Cikaret,23058,16685
Tanah Abang,Bumi Ayu,806,86.67
Tanah Abang,Tanah Abang Selatan,4085,124.73
Tanah Abang,Tanah Abang Utara,3389,436.16
Tanah Abang,Muara Sungai,789,80.35
Tanah Abang,Raja,3051,681.03
Tanah Abang,Curup,1804,108.15
Tanah Abang,Sukaraja,1125,240.9
Tanah Abang,Sedupi,2092,374.24
Tanah Abang,Pandan,3382,449.14
Tanah Abang,Modong,1453,80.63
Tanah Abang,Harapan Jaya,2527,246.54
Tanah Abang,Tanjung Dalam,791,230.61
Tanah Abang,Lunas Jaya,1158,337.61
Tanah Abang,Tanah Abang Jaya,3742,537.64
Tanah Abang,Muara Dua,1002,138.21
Tanah Abang,Sukamanis,1112,194.41
Tanah Abang,Raja Barat,1925,650.34
Setiabudi,Karet Semanggi,3087,3430
Setiabudi,Kuningan Timur,6326,2942
Setiabudi,Karet Kuningan,30056,16791
Setiabudi,Karet,16654,17717
Setiabudi,Menteng Atas,32262,35847
Setiabudi,Pasar Manggis,21815,27968
Setiabudi,Guntur,4193,6451
Setiabudi,Setiabudi,4950,6689
Mampang Prapatan,Bangka,25380,7691
Mampang Prapatan,Pela Mampang,50515,31182
Mampang Prapatan,Tegal Parang,39442,37564
Mampang Prapatan,Mampang Prapatan,21581,27668
Mampang Prapatan,Kuningan Barat,14777,15079
Kebayoran Lama,Pondok Pinang,68535,10020
Kebayoran Lama,Kebayoran Lama Selatan,48747,18967
Kebayoran Lama,Kebayoran Lama Utara,51347,28847
Kebayoran Lama,Cipulir,49006,25392
Kebayoran Lama,Grogol Selatan,53346,18652
Kebayoran Lama,Grogol Utara,50448,15195
Menteng,Menteng,29656,12158
Menteng,Pegangsaan,27141,27624
Menteng,Cikini,9579,11669
Menteng,Gondangdia,4563,3129
Menteng,Kebon Sirih,14179,17001
Bogor Utara,Bantarjati,26611,17126
Bogor Utara,Tegalgundil,30973,16302
Bogor Utara,Tanahbaru,29642,9026
Bogor Utara,Cimahpar,27041,7147
Bogor Utara,Ciluar,17548,8147
Bogor Utara,Cibuluh,22657,12963
Bogor Utara,Kedunghalang,24703,12663
Bogor Utara,Ciparigi,28362,15904
Bogor Tengah,Paledang,12655,7176
Bogor Tengah,Gudang,8109,24943
Bogor Tengah,Babakanpasar,11738,32569
Bogor Tengah,Tegallega,19425,16795
Bogor Tengah,Babakan ,8061,5461
Bogor Tengah,Sempur,8779,14819
Bogor Tengah,Pabaton,3212,5066
Bogor Tengah,Cibogor,8116,17450
Bogor Tengah,Panaragan,8167,29033
Bogor Tengah,Kebonkelapa,12537,24184
Bogor Tengah,Ciwaringin,8605,10840
Beji,Beji,49052,25285
Beji,Beji Timur,11448,16180
Beji,Kemirimuka,32452,14296
Beji,Pondok Cina,12602,4553
Beji,Kukusan,18897,5446
Beji,Tanah Baru,36522,10525
Pancoran Mas,Rangkapan Jaya Baru,40317,10599
Pancoran Mas,Rangkapan Jaya ,42859,11575
Pancoran Mas,Mampang ,28242,12947
Pancoran Mas,Pancoran Mas,64677,18544
Pancoran Mas,Depok Jaya,24526,20695
Pancoran Mas,Depok,45758,12413
Sukmajaya,Sukmajaya,35166,10466
Sukmajaya,Tirtajaya,23912,8332
Sukmajaya,Mekarjaya,58078,17815
Sukmajaya,Abadijaya,60780,24312
Sukmajaya,Baktijaya,57339,20797
Sukmajaya,Cisalak,17235,6603
Cilodong,Kalimulya,24311,7162
Cilodong,Jatimulya,17744,7041
Cilodong,Kalibaru,33918,10469
Cilodong,Cilodong,21986,11101
Cilodong,Sukamaju,69887,16029
Klapanunggal,Leuwikaret,8381,316
Klapanunggal,Lulut,17997,792
Klapanunggal,Bantar Jati,9367,2552
Klapanunggal,Nambo,11841,1135
Klapanunggal,Kembang Kuning,17837,3267
Klapanunggal,Klapanunggal,28114,2854
Klapanunggal,Ligamukti,3941,326
Klapanunggal,Bojong,16463,2005
Klapanunggal,Cikahuripan,26152,4470
Bojong Gede,Cimanggis,24757,4725
Bojong Gede,Waringin Jaya,19077,11027
Bojong Gede,Kedung Waringin,28540,15768
Bojong Gede,Bojong Gede,48338,17577
Bojong Gede,Susukan,27663,8136
Bojong Gede,Bojong Baru,26236,8073
Bojong Gede,Rawa Panjang,42663,13544
Bojong Gede,Pabuaran,40322,16259
Bojong Gede,Ragajaya,29399,6790
Cibinong,Karadenan,37516,9286
Cibinong,Nanggewer,36881,9129
Cibinong,Nanggewer Mekar,16727,4140
Cibinong,Cibinong,29121,7208
Cibinong,Pakansari,37839,9366
Cibinong,Tengah,31945,7907
Cibinong,Sukahati,16338,4044
Cibinong,Pondok Rajeg,18982,4699
Cibinong,Harapan Jaya,30224,7481
Cibinong,Pabuaran,51569,12765
Cibinong,Cirimekar,13967,3457
Cibinong,Ciriung,32908,8146
Cibinong,Pabuaran Mekar,25769,6378
Kramat Jati,Bale Kambang,37946,23138
Kramat Jati,Batu Ampar,61789,24185
Kramat Jati,Kampung Tengah,57285,28932
Kramat Jati,Dukuh,31738,16360
Kramat Jati,Kramat Jati,42731,28872
Kramat Jati,Cililitan,51050,29680
Kramat Jati,Cawang,40874,23357
Makasar,Pinang Ranti,35658,15174
Makasar,Makasar,42351,26305
Makasar,Kebon Pala,56869,24834
Makasar,Halim Perdana Kusumah,33989,2601
Makasar,Cipinang Melayu,52180,20625
Pondok Melati,Jati Murni,28136,9936
Pondok Melati,Jati Melati,22224,8047
Pondok Melati,Jati Warna,23536,12918
Pondok Melati,Jati Rahayu,58649,16290
Jatisampurna,Jati Karya,16604,3222
Jatisampurna,Jatisampurna,31682,7555
Jatisampurna,Jati Ranggon,29649,9193
Jatisampurna,Jati Raden,22708,7379
Jatisampurna,Jati Rangga,19406,4270
Kebayoran Baru,Gandaria Utara,47209,31059
Kebayoran Baru,Cipete Utara,38541,21061
Kebayoran Baru,Pulo,6401,5040
Kebayoran Baru,Petogogan,13097,15229
Kebayoran Baru,Melawai,2814,2251
Kebayoran Baru,Kramat Peta,16522,13218
Kebayoran Baru,Gunung,10529,7977
Kebayoran Baru,Selong,2994,2139
Kebayoran Baru,Rawa Barat,6404,9281
Kebayoran Baru,Senayan,3024,1976
